"","share_issue","share","issue","lobbyist"
"Y0000042201L","0.5-INS",0.5,"INS","Y0000042201L"
"Y0000042202L","1-BUD",1,"BUD","Y0000042202L"
"Y0000042203L","0.0660600011194239-UNM",0.0660600011194239,"UNM","Y0000042203L"
"Y0000042205L","0.0590111642743222-WEL",0.0590111642743222,"WEL","Y0000042205L"
"Y0000042206L","0.727272727272727-LAW",0.727272727272727,"LAW","Y0000042206L"
"Y0000042207L","0.2-TAX",0.2,"TAX","Y0000042207L"
"Y0000042208L","0.357694665849172-LBR",0.357694665849172,"LBR","Y0000042208L"
"Y0000042209L","NaN-WEL",NA,"WEL","Y0000042209L"
"Y0000042211L","0.25-MMM",0.25,"MMM","Y0000042211L"
"Y0000042212L","0.2-TAX",0.2,"TAX","Y0000042212L"
"Y0000042214L","0.121770025839793-SCI",0.121770025839793,"SCI","Y0000042214L"
"Y0000042215L","0.0697054250827919-TRA",0.0697054250827919,"TRA","Y0000042215L"
"Y0000042218L","0.884920634920635-DIS",0.884920634920635,"DIS","Y0000042218L"
"Y0000042219L","NaN-WEL",NA,"WEL","Y0000042219L"
"Y0000042221L","1-ENG",1,"ENG","Y0000042221L"
"Y0000042222L","0.0545884888311236-WEL",0.0545884888311236,"WEL","Y0000042222L"
"Y0000042223L","NaN-WEL",NA,"WEL","Y0000042223L"
"Y0000042225L","0.233738113490377-MED",0.233738113490377,"MED","Y0000042225L"
"Y0000042226L","1-TRA",1,"TRA","Y0000042226L"
"Y0000042227L","0.520666534971008-HCR",0.520666534971008,"HCR","Y0000042227L"
"Y0000042229L","NaN-WEL",NA,"WEL","Y0000042229L"
"Y0000042231L","0.0625-UTI",0.0625,"UTI","Y0000042231L"
"Y0000043177L","0.183928571428571-TAX",0.183928571428571,"TAX","Y0000043177L"
"Y0000043222L","1-EDU",1,"EDU","Y0000043222L"
"Y0000043225L","1-EDU",1,"EDU","Y0000043225L"
"Y0000043228L","1-ENG",1,"ENG","Y0000043228L"
"Y0000043234L","1-MMM",1,"MMM","Y0000043234L"
"Y0000043235L","0.5-LBR",0.5,"LBR","Y0000043235L"
"Y0000043236L","1-ENG",1,"ENG","Y0000043236L"
"Y0000043237L","0.142857142857143-TRA",0.142857142857143,"TRA","Y0000043237L"
"Y0000043241L","0.131093299062049-TRD",0.131093299062049,"TRD","Y0000043241L"
"Y0000043245L","NaN-WEL",NA,"WEL","Y0000043245L"
