"","share_issue","share","issue","lobbyist"
"Y0000000011L","0.705882352941177-BUD",0.705882352941177,"BUD","Y0000000011L"
"Y0000000020L","1-TRA",1,"TRA","Y0000000020L"
"Y0000000030L","0.540540540540541-BUD",0.540540540540541,"BUD","Y0000000030L"
"Y0000000035L","1-INS",1,"INS","Y0000000035L"
"Y0000000037L","0.148377097009482-HCR",0.148377097009482,"HCR","Y0000000037L"
"Y0000000038L","0.142857142857143-RES",0.142857142857143,"RES","Y0000000038L"
"Y0000000039L","0.2-NAT",0.2,"NAT","Y0000000039L"
"Y0000000041L","0.697861594670105-INS",0.697861594670105,"INS","Y0000000041L"
"Y0000000043L","0.346534653465347-ENG",0.346534653465347,"ENG","Y0000000043L"
"Y0000000044L","0.412168784252318-MMM",0.412168784252318,"MMM","Y0000000044L"
"Y0000000048L","0.111111111111111-TAX",0.111111111111111,"TAX","Y0000000048L"
"Y0000000060L","1-UTI",1,"UTI","Y0000000060L"
"Y0000000069L","0.111111111111111-SCI",0.111111111111111,"SCI","Y0000000069L"
"Y0000000072L","0.903162173471218-AVI",0.903162173471218,"AVI","Y0000000072L"
"Y0000000073L","0.5-TOR",0.5,"TOR","Y0000000073L"
"Y0000000077L","NaN-WEL",NA,"WEL","Y0000000077L"
"Y0000000090L","0.6875-CAW",0.6875,"CAW","Y0000000090L"
"Y0000000094L","1-AGR",1,"AGR","Y0000000094L"
"Y0000000101L","1-ENG",1,"ENG","Y0000000101L"
"Y0000000116L","0.273049645390071-LAW",0.273049645390071,"LAW","Y0000000116L"
"Y0000000127L","1-ANI",1,"ANI","Y0000000127L"
"Y0000000133L","1-DEF",1,"DEF","Y0000000133L"
"Y0000000134L","0.239583333333333-PHA",0.239583333333333,"PHA","Y0000000134L"
"Y0000000143L","0.5625-MED",0.5625,"MED","Y0000000143L"
"Y0000000148L","0.155566851830007-SCI",0.155566851830007,"SCI","Y0000000148L"
"Y0000000158L","0.29302758503977-HCR",0.29302758503977,"HCR","Y0000000158L"
"Y0000000159L","0.439024390243902-RES",0.439024390243902,"RES","Y0000000159L"
"Y0000000162L","0.0256253363306848-TRU",0.0256253363306848,"TRU","Y0000000162L"
"Y0000000164L","1-DEF",1,"DEF","Y0000000164L"
"Y0000000180L","0.142857142857143-TRD",0.142857142857143,"TRD","Y0000000180L"
"Y0000000185L","0.119446075406703-AGR",0.119446075406703,"AGR","Y0000000185L"
"Y0000000187L","0.250783699059561-EDU",0.250783699059561,"EDU","Y0000000187L"
"Y0000000198L","0.333333333333333-TAX",0.333333333333333,"TAX","Y0000000198L"
"Y0000000199L","0.767098436196074-MMM",0.767098436196074,"MMM","Y0000000199L"
"Y0000000205L","0.566371681415929-BUD",0.566371681415929,"BUD","Y0000000205L"
"Y0000000210L","0.685714285714286-IND",0.685714285714286,"IND","Y0000000210L"
"Y0000000213L","0.469972597718956-MMM",0.469972597718956,"MMM","Y0000000213L"
"Y0000000215L","1-ENV",1,"ENV","Y0000000215L"
"Y0000000220L","0.131776842937566-TRA",0.131776842937566,"TRA","Y0000000220L"
"Y0000000221L","0.666666666666667-FIN",0.666666666666667,"FIN","Y0000000221L"
"Y0000000224L","0.666666666666667-HCR",0.666666666666667,"HCR","Y0000000224L"
"Y0000000231L","0.25-LBR",0.25,"LBR","Y0000000231L"
"Y0000000232L","0.118592593111959-CSP",0.118592593111959,"CSP","Y0000000232L"
"Y0000000234L","0.200899665838403-INS",0.200899665838403,"INS","Y0000000234L"
"Y0000000237L","1-NAT",1,"NAT","Y0000000237L"
"Y0000000240L","0.223118279569892-BUD",0.223118279569892,"BUD","Y0000000240L"
"Y0000000242L","0.552486187845304-TEC",0.552486187845304,"TEC","Y0000000242L"
"Y0000000245L","0.25-TRD",0.25,"TRD","Y0000000245L"
"Y0000000249L","1-URB",1,"URB","Y0000000249L"
"Y0000000251L","0.156540777230432-UTI",0.156540777230432,"UTI","Y0000000251L"
"Y0000000253L","0.178815489749431-VET",0.178815489749431,"VET","Y0000000253L"
"Y0000000254L","NaN-WEL",NA,"WEL","Y0000000254L"
"Y0000000259L","1-VET",1,"VET","Y0000000259L"
"Y0000000260L","0.132062146892655-TRA",0.132062146892655,"TRA","Y0000000260L"
"Y0000000265L","NaN-WEL",NA,"WEL","Y0000000265L"
"Y0000000266L","0.125-TRA",0.125,"TRA","Y0000000266L"
"Y0000000269L","NaN-WEL",NA,"WEL","Y0000000269L"
"Y0000000271L","0.333333333333333-TRA",0.333333333333333,"TRA","Y0000000271L"
"Y0000000275L","1-DEF",1,"DEF","Y0000000275L"
"Y0000000276L","0.123949631149543-ENG",0.123949631149543,"ENG","Y0000000276L"
"Y0000000286L","0.203832432233624-MMM",0.203832432233624,"MMM","Y0000000286L"
"Y0000000291L","1-HCR",1,"HCR","Y0000000291L"
"Y0000000299L","0.0714285714285714-TRF",0.0714285714285714,"TRF","Y0000000299L"
"Y0000000302L","0.0760013391042487-TAX",0.0760013391042487,"TAX","Y0000000302L"
"Y0000000306L","0.269858156028369-FOO",0.269858156028369,"FOO","Y0000000306L"
"Y0000000309L","0.0703416250918617-TRD",0.0703416250918617,"TRD","Y0000000309L"
"Y0000000314L","NaN-WEL",NA,"WEL","Y0000000314L"
"Y0000000320L","0.42627444836284-BUD",0.42627444836284,"BUD","Y0000000320L"
"Y0000000321L","0.340425531914894-ENV",0.340425531914894,"ENV","Y0000000321L"
"Y0000000321M","0.296296296296296-TRA",0.296296296296296,"TRA","Y0000000321M"
"Y0000000325L","0.197066455143114-VET",0.197066455143114,"VET","Y0000000325L"
"Y0000000326L","0.5-TRA",0.5,"TRA","Y0000000326L"
"Y0000000332L","0.25-RES",0.25,"RES","Y0000000332L"
"Y0000000338L","0.0594232134011029-TRD",0.0594232134011029,"TRD","Y0000000338L"
"Y0000000341L","0.666666666666667-GOV",0.666666666666667,"GOV","Y0000000341L"
"Y0000000343L","0.378397970279087-TEC",0.378397970279087,"TEC","Y0000000343L"
"Y0000000347L","0.21996855345912-TAX",0.21996855345912,"TAX","Y0000000347L"
"Y0000000351L","0.111111111111111-SPO",0.111111111111111,"SPO","Y0000000351L"
"Y0000000361L","0.2-TAX",0.2,"TAX","Y0000000361L"
"Y0000000362L","0.149813106117464-TRA",0.149813106117464,"TRA","Y0000000362L"
"Y0000000366L","0.2350400337126-BUD",0.2350400337126,"BUD","Y0000000366L"
"Y0000000371L","1-IMM",1,"IMM","Y0000000371L"
"Y0000000374L","0.134357363123291-CSP",0.134357363123291,"CSP","Y0000000374L"
"Y0000000376L","0.139029553730206-TAX",0.139029553730206,"TAX","Y0000000376L"
"Y0000000380L","0.5-CPT",0.5,"CPT","Y0000000380L"
"Y0000000385L","0.158463385354142-NAT",0.158463385354142,"NAT","Y0000000385L"
"Y0000000387L","1-HCR",1,"HCR","Y0000000387L"
"Y0000000395L","0.295555555555556-HCR",0.295555555555556,"HCR","Y0000000395L"
"Y0000000396L","0.152465437788018-TRU",0.152465437788018,"TRU","Y0000000396L"
"Y0000000400L","0.2-TAX",0.2,"TAX","Y0000000400L"
"Y0000000401L","0.333333333333333-FIN",0.333333333333333,"FIN","Y0000000401L"
"Y0000000403L","NaN-WEL",NA,"WEL","Y0000000403L"
"Y0000000408L","0.111111111111111-TRD",0.111111111111111,"TRD","Y0000000408L"
"Y0000000410L","0.0476190476190476-TRF",0.0476190476190476,"TRF","Y0000000410L"
"Y0000000413L","1-ANI",1,"ANI","Y0000000413L"
"Y0000000415L","0.25-NAT",0.25,"NAT","Y0000000415L"
"Y0000000419L","0.458333333333333-MMM",0.458333333333333,"MMM","Y0000000419L"
"Y0000000422L","0.228723404255319-TAX",0.228723404255319,"TAX","Y0000000422L"
"Y0000000423L","0.131776842937566-TRA",0.131776842937566,"TRA","Y0000000423L"
"Y0000000429L","0.170510644862697-UTI",0.170510644862697,"UTI","Y0000000429L"
"Y0000000435L","0.653846153846154-HCR",0.653846153846154,"HCR","Y0000000435L"
"Y0000000439L","0.621621621621622-BUD",0.621621621621622,"BUD","Y0000000439L"
"Y0000000443L","0.468253968253968-LBR",0.468253968253968,"LBR","Y0000000443L"
"Y0000000444L","0.119533179021706-TAX",0.119533179021706,"TAX","Y0000000444L"
"Y0000000451L","0.449793672627235-FIN",0.449793672627235,"FIN","Y0000000451L"
"Y0000000454L","0.682952734997345-TRA",0.682952734997345,"TRA","Y0000000454L"
"Y0000000455L","0.21996855345912-TAX",0.21996855345912,"TAX","Y0000000455L"
"Y0000000455M","0.111111111111111-TOR",0.111111111111111,"TOR","Y0000000455M"
"Y0000000461L","0.333333333333333-MMM",0.333333333333333,"MMM","Y0000000461L"
"Y0000000463L","0.184217211813274-BUD",0.184217211813274,"BUD","Y0000000463L"
"Y0000000471L","1-TRU",1,"TRU","Y0000000471L"
"Y0000000474L","0.0818587856369996-WAS",0.0818587856369996,"WAS","Y0000000474L"
"Y0000000478L","1-BUD",1,"BUD","Y0000000478L"
"Y0000000482L","0.5-MMM",0.5,"MMM","Y0000000482L"
"Y0000000484L","1-BUD",1,"BUD","Y0000000484L"
"Y0000000485L","1-CON",1,"CON","Y0000000485L"
"Y0000000489L","0.146248382096645-TRD",0.146248382096645,"TRD","Y0000000489L"
"Y0000000493L","0.269858156028369-FOO",0.269858156028369,"FOO","Y0000000493L"
"Y0000000496L","0.333333333333333-ENV",0.333333333333333,"ENV","Y0000000496L"
"Y0000000504L","0.125-URB",0.125,"URB","Y0000000504L"
"Y0000000511L","NaN-WEL",NA,"WEL","Y0000000511L"
"Y0000000516L","1-DEF",1,"DEF","Y0000000516L"
"Y0000000523L","1-DEF",1,"DEF","Y0000000523L"
"Y0000000524L","0.333333333333333-URB",0.333333333333333,"URB","Y0000000524L"
"Y0000000527L","0.25-VET",0.25,"VET","Y0000000527L"
"Y0000000531L","0.132433156067656-TOR",0.132433156067656,"TOR","Y0000000531L"
"Y0000000532L","NaN-WEL",NA,"WEL","Y0000000532L"
"Y0000000543L","0.25-TAX",0.25,"TAX","Y0000000543L"
"Y0000000545L","0.654141759180188-HCR",0.654141759180188,"HCR","Y0000000545L"
"Y0000000552L","0.5-MMM",0.5,"MMM","Y0000000552L"
"Y0000000559L","0.25530303030303-TRA",0.25530303030303,"TRA","Y0000000559L"
"Y0000000568L","0.557027335416977-MMM",0.557027335416977,"MMM","Y0000000568L"
"Y0000000569L","0.1-TRD",0.1,"TRD","Y0000000569L"
"Y0000000573L","0.125-TRA",0.125,"TRA","Y0000000573L"
"Y0000000576L","0.055261037527951-UNM",0.055261037527951,"UNM","Y0000000576L"
"Y0000000577L","1-TRA",1,"TRA","Y0000000577L"
"Y0000000579L","1-HCR",1,"HCR","Y0000000579L"
"Y0000000581L","1-EDU",1,"EDU","Y0000000581L"
"Y0000000584L","0.208730158730159-MED",0.208730158730159,"MED","Y0000000584L"
"Y0000000589L","0.0594232134011029-TRD",0.0594232134011029,"TRD","Y0000000589L"
"Y0000000592L","0.25-TEC",0.25,"TEC","Y0000000592L"
"Y0000000594L","0.245689655172414-CPT",0.245689655172414,"CPT","Y0000000594L"
"Y0000000602L","0.108333333333333-TRA",0.108333333333333,"TRA","Y0000000602L"
"Y0000000606L","0.333333333333333-MAR",0.333333333333333,"MAR","Y0000000606L"
"Y0000000608L","1-HCR",1,"HCR","Y0000000608L"
"Y0000000611L","0.2-TRD",0.2,"TRD","Y0000000611L"
"Y0000000618L","0.998153247771334-BUD",0.998153247771334,"BUD","Y0000000618L"
"Y0000000621L","0.5421926910299-DEF",0.5421926910299,"DEF","Y0000000621L"
"Y0000000635L","1-MMM",1,"MMM","Y0000000635L"
"Y0000000636L","0.146376225873749-TRD",0.146376225873749,"TRD","Y0000000636L"
"Y0000000646L","0.539522858751856-MMM",0.539522858751856,"MMM","Y0000000646L"
"Y0000000656L","1-DEF",1,"DEF","Y0000000656L"
"Y0000000657L","0.268791591046582-FIN",0.268791591046582,"FIN","Y0000000657L"
"Y0000000659L","0.210676291793313-ENV",0.210676291793313,"ENV","Y0000000659L"
"Y0000000660L","0.776412776412776-DEF",0.776412776412776,"DEF","Y0000000660L"
"Y0000000665L","1-AVI",1,"AVI","Y0000000665L"
"Y0000000677L","NaN-WEL",NA,"WEL","Y0000000677L"
"Y0000000681L","0.247688243064729-COM",0.247688243064729,"COM","Y0000000681L"
"Y0000000682L","0.256365503080082-ENG",0.256365503080082,"ENG","Y0000000682L"
"Y0000000688L","0.666666666666667-HCR",0.666666666666667,"HCR","Y0000000688L"
"Y0000000690L","0.5-MED",0.5,"MED","Y0000000690L"
"Y0000000691L","0.142857142857143-TRA",0.142857142857143,"TRA","Y0000000691L"
"Y0000000692L","0.264787451116838-TRD",0.264787451116838,"TRD","Y0000000692L"
"Y0000000695L","0.132062146892655-TRA",0.132062146892655,"TRA","Y0000000695L"
"Y0000000703L","0.845240491044476-TOB",0.845240491044476,"TOB","Y0000000703L"
"Y0000000705L","0.251633986928105-ENG",0.251633986928105,"ENG","Y0000000705L"
"Y0000000711L","0.124320046370608-TRD",0.124320046370608,"TRD","Y0000000711L"
"Y0000000716L","0.346571428571429-TRA",0.346571428571429,"TRA","Y0000000716L"
"Y0000000719L","0.142857142857143-TRD",0.142857142857143,"TRD","Y0000000719L"
"Y0000000723L","0.425925925925926-MMM",0.425925925925926,"MMM","Y0000000723L"
"Y0000000730L","NaN-WEL",NA,"WEL","Y0000000730L"
"Y0000000733L","0.294294294294294-DEF",0.294294294294294,"DEF","Y0000000733L"
"Y0000000737L","0.142857142857143-TAX",0.142857142857143,"TAX","Y0000000737L"
"Y0000000746L","0.184750284987361-LBR",0.184750284987361,"LBR","Y0000000746L"
"Y0000000752L","0.0769230769230769-WAS",0.0769230769230769,"WAS","Y0000000752L"
"Y0000000754L","0.485431918748204-TAX",0.485431918748204,"TAX","Y0000000754L"
"Y0000000757L","0.705811372974237-TAX",0.705811372974237,"TAX","Y0000000757L"
"Y0000000758L","1-DEF",1,"DEF","Y0000000758L"
"Y0000000760L","1-MMM",1,"MMM","Y0000000760L"
"Y0000000762L","0.0833333333333333-TRD",0.0833333333333333,"TRD","Y0000000762L"
"Y0000000765L","0.982532751091703-DEF",0.982532751091703,"DEF","Y0000000765L"
"Y0000000766L","0.292336519535229-VET",0.292336519535229,"VET","Y0000000766L"
"Y0000000772L","NaN-WEL",NA,"WEL","Y0000000772L"
"Y0000000774L","0.612090680100756-HCR",0.612090680100756,"HCR","Y0000000774L"
"Y0000000776L","0.287070547229338-ENV",0.287070547229338,"ENV","Y0000000776L"
"Y0000000778L","0.111111111111111-MMM",0.111111111111111,"MMM","Y0000000778L"
"Y0000000779L","0.226625438465247-TRA",0.226625438465247,"TRA","Y0000000779L"
"Y0000000780L","NaN-WEL",NA,"WEL","Y0000000780L"
"Y0000000782L","0.505952380952381-HCR",0.505952380952381,"HCR","Y0000000782L"
"Y0000000784L","0.37202409328895-PHA",0.37202409328895,"PHA","Y0000000784L"
"Y0000000786L","0.2-TRD",0.2,"TRD","Y0000000786L"
"Y0000000787L","0.288791822227202-FOR",0.288791822227202,"FOR","Y0000000787L"
"Y0000000794L","0.219191919191919-MMM",0.219191919191919,"MMM","Y0000000794L"
"Y0000000807L","0.798047940289938-HCR",0.798047940289938,"HCR","Y0000000807L"
"Y0000000810L","1-HCR",1,"HCR","Y0000000810L"
"Y0000000813L","0.473858460042484-HCR",0.473858460042484,"HCR","Y0000000813L"
"Y0000000815L","0.683111990562807-MMM",0.683111990562807,"MMM","Y0000000815L"
"Y0000000816L","0.0659254267744834-TRD",0.0659254267744834,"TRD","Y0000000816L"
"Y0000000827L","0.714285714285714-GOV",0.714285714285714,"GOV","Y0000000827L"
"Y0000000831L","0.111111111111111-TRD",0.111111111111111,"TRD","Y0000000831L"
"Y0000000832L","0.625-BUD",0.625,"BUD","Y0000000832L"
"Y0000000836L","0.848675914249685-AGR",0.848675914249685,"AGR","Y0000000836L"
"Y0000000843L","0.142857142857143-IMM",0.142857142857143,"IMM","Y0000000843L"
"Y0000000844L","0.333333333333333-FIN",0.333333333333333,"FIN","Y0000000844L"
"Y0000000851L","0.8-BAN",0.8,"BAN","Y0000000851L"
"Y0000000856L","1-NAT",1,"NAT","Y0000000856L"
"Y0000000859L","0.259940357852883-ENV",0.259940357852883,"ENV","Y0000000859L"
"Y0000000862L","0.142857142857143-TRA",0.142857142857143,"TRA","Y0000000862L"
"Y0000000870L","0.0892327875224722-TRD",0.0892327875224722,"TRD","Y0000000870L"
"Y0000000873L","0.968275520757327-BUD",0.968275520757327,"BUD","Y0000000873L"
"Y0000000878L","0.213288876709747-TAX",0.213288876709747,"TAX","Y0000000878L"
"Y0000000879L","0.305908402284116-MMM",0.305908402284116,"MMM","Y0000000879L"
"Y0000000880L","0.366120218579235-TAX",0.366120218579235,"TAX","Y0000000880L"
"Y0000000883L","0.0929870480392124-TEC",0.0929870480392124,"TEC","Y0000000883L"
"Y0000000885L","0.333333333333333-TAX",0.333333333333333,"TAX","Y0000000885L"
"Y0000000886L","0.863117870722433-TAX",0.863117870722433,"TAX","Y0000000886L"
"Y0000000893L","0.166666666666667-TRA",0.166666666666667,"TRA","Y0000000893L"
"Y0000000898L","0.625-HCR",0.625,"HCR","Y0000000898L"
"Y0000000901L","0.147913092025477-LBR",0.147913092025477,"LBR","Y0000000901L"
"Y0000000904L","0.689655172413793-ENG",0.689655172413793,"ENG","Y0000000904L"
"Y0000000905L","0.0855054895641085-TAX",0.0855054895641085,"TAX","Y0000000905L"
"Y0000000907L","0.054204077155706-TRD",0.054204077155706,"TRD","Y0000000907L"
"Y0000000908L","1-CIV",1,"CIV","Y0000000908L"
"Y0000000921L","0.458333333333333-FOO",0.458333333333333,"FOO","Y0000000921L"
"Y0000000923L","1-HCR",1,"HCR","Y0000000923L"
"Y0000000925L","0.25-FIN",0.25,"FIN","Y0000000925L"
"Y0000000934L","0.625-HCR",0.625,"HCR","Y0000000934L"
"Y0000000941L","NaN-WEL",NA,"WEL","Y0000000941L"
"Y0000000949L","1-LBR",1,"LBR","Y0000000949L"
"Y0000000950L","NaN-WEL",NA,"WEL","Y0000000950L"
"Y0000000951L","0.247441364605544-BUD",0.247441364605544,"BUD","Y0000000951L"
"Y0000000956L","0.133135729448167-TAX",0.133135729448167,"TAX","Y0000000956L"
"Y0000000957L","0.333333333333333-MMM",0.333333333333333,"MMM","Y0000000957L"
"Y0000000961L","0.21083062420424-TAX",0.21083062420424,"TAX","Y0000000961L"
"Y0000000964L","1-DEF",1,"DEF","Y0000000964L"
"Y0000000968L","0.5-MAR",0.5,"MAR","Y0000000968L"
"Y0000000972L","0.241419269771362-TRA",0.241419269771362,"TRA","Y0000000972L"
"Y0000000982L","0.296950240770466-TRD",0.296950240770466,"TRD","Y0000000982L"
"Y0000000984L","0.0826561294037376-TRU",0.0826561294037376,"TRU","Y0000000984L"
"Y0000000986L","0.25-TRD",0.25,"TRD","Y0000000986L"
"Y0000000991L","0.126745657458173-TRA",0.126745657458173,"TRA","Y0000000991L"
"Y0000000994L","0.224863559094569-TAX",0.224863559094569,"TAX","Y0000000994L"
"Y0000000996L","0.126980418616031-ENV",0.126980418616031,"ENV","Y0000000996L"
"Y0000000998L","0.20378280734472-HCR",0.20378280734472,"HCR","Y0000000998L"
"Y0000001014L","NaN-WEL",NA,"WEL","Y0000001014L"
"Y0000001020L","0.733333333333333-TRA",0.733333333333333,"TRA","Y0000001020L"
"Y0000001026L","1-BUD",1,"BUD","Y0000001026L"
"Y0000001028L","0.0625-TRD",0.0625,"TRD","Y0000001028L"
"Y0000001031L","0.142460317460317-TAX",0.142460317460317,"TAX","Y0000001031L"
"Y0000001038L","0.28-ENG",0.28,"ENG","Y0000001038L"
"Y0000001040L","0.241062801932367-TAX",0.241062801932367,"TAX","Y0000001040L"
"Y0000001042L","0.2-TOB",0.2,"TOB","Y0000001042L"
"Y0000001043L","0.200575045742275-TAX",0.200575045742275,"TAX","Y0000001043L"
"Y0000001046L","0.153156146179402-TOU",0.153156146179402,"TOU","Y0000001046L"
"Y0000001052L","0.414846842476764-HCR",0.414846842476764,"HCR","Y0000001052L"
"Y0000001054L","0.0333333333333333-WAS",0.0333333333333333,"WAS","Y0000001054L"
"Y0000001055L","0.25-TRD",0.25,"TRD","Y0000001055L"
"Y0000001057L","0.168033334926506-SCI",0.168033334926506,"SCI","Y0000001057L"
"Y0000001072L","0.5-TRA",0.5,"TRA","Y0000001072L"
"Y0000001077L","1-AGR",1,"AGR","Y0000001077L"
"Y0000001085L","0.721663313212609-DEF",0.721663313212609,"DEF","Y0000001085L"
"Y0000001091L","0.497967479674797-BUD",0.497967479674797,"BUD","Y0000001091L"
"Y0000001101L","0.75-MED",0.75,"MED","Y0000001101L"
"Y0000001104L","0.345704859789367-BUD",0.345704859789367,"BUD","Y0000001104L"
"Y0000001111L","0.142857142857143-TRA",0.142857142857143,"TRA","Y0000001111L"
"Y0000001114L","0.248847926267281-TAX",0.248847926267281,"TAX","Y0000001114L"
"Y0000001117L","0.333333333333333-MMM",0.333333333333333,"MMM","Y0000001117L"
"Y0000001120L","NaN-WEL",NA,"WEL","Y0000001120L"
"Y0000001124L","1-AGR",1,"AGR","Y0000001124L"
"Y0000001125L","0.367741935483871-BUD",0.367741935483871,"BUD","Y0000001125L"
"Y0000001126L","0.195482295482295-TAX",0.195482295482295,"TAX","Y0000001126L"
"Y0000001131L","1-DEF",1,"DEF","Y0000001131L"
"Y0000001137L","0.991158267020336-IND",0.991158267020336,"IND","Y0000001137L"
"Y0000001151L","0.288791822227202-FOR",0.288791822227202,"FOR","Y0000001151L"
"Y0000001152L","0.282352941176471-VET",0.282352941176471,"VET","Y0000001152L"
"Y0000001163L","1-TOB",1,"TOB","Y0000001163L"
"Y0000001167L","0.195867583320879-TAX",0.195867583320879,"TAX","Y0000001167L"
"Y0000001168L","1-HCR",1,"HCR","Y0000001168L"
"Y0000001183L","0.87737003058104-BUD",0.87737003058104,"BUD","Y0000001183L"
"Y0000001185L","1-UTI",1,"UTI","Y0000001185L"
"Y0000001189L","1-COM",1,"COM","Y0000001189L"
"Y0000001191L","1-BUD",1,"BUD","Y0000001191L"
"Y0000001212L","1-TRD",1,"TRD","Y0000001212L"
"Y0000001214L","0.5-MED",0.5,"MED","Y0000001214L"
"Y0000001216L","0.166666666666667-SCI",0.166666666666667,"SCI","Y0000001216L"
"Y0000001225L","0.359923245614035-TAX",0.359923245614035,"TAX","Y0000001225L"
"Y0000001229L","NaN-WEL",NA,"WEL","Y0000001229L"
"Y0000001230L","1-DEF",1,"DEF","Y0000001230L"
"Y0000001235L","0.319444444444444-HOM",0.319444444444444,"HOM","Y0000001235L"
"Y0000001238L","1-DEF",1,"DEF","Y0000001238L"
"Y0000001250L","0.805555555555556-BUD",0.805555555555556,"BUD","Y0000001250L"
"Y0000001253L","1-URB",1,"URB","Y0000001253L"
"Y0000001259L","0.0477957134639285-VET",0.0477957134639285,"VET","Y0000001259L"
"Y0000001264L","0.24017774942514-TRD",0.24017774942514,"TRD","Y0000001264L"
"Y0000001274L","0.353217798978412-BUD",0.353217798978412,"BUD","Y0000001274L"
"Y0000001277L","0.0620480399557587-TRD",0.0620480399557587,"TRD","Y0000001277L"
"Y0000001279L","0.5-TEC",0.5,"TEC","Y0000001279L"
"Y0000001283L","0.614254624591948-TRA",0.614254624591948,"TRA","Y0000001283L"
"Y0000001285L","0.557230467944754-TAX",0.557230467944754,"TAX","Y0000001285L"
"Y0000001286L","0.642857142857143-FIN",0.642857142857143,"FIN","Y0000001286L"
"Y0000001287L","1-AGR",1,"AGR","Y0000001287L"
"Y0000001288L","0.31906882768599-HCR",0.31906882768599,"HCR","Y0000001288L"
"Y0000001289L","0.186186868686869-TAX",0.186186868686869,"TAX","Y0000001289L"
"Y0000001295L","0.440119760479042-BUD",0.440119760479042,"BUD","Y0000001295L"
"Y0000001296L","0.808510638297872-TRA",0.808510638297872,"TRA","Y0000001296L"
"Y0000001297L","0.213288876709747-TAX",0.213288876709747,"TAX","Y0000001297L"
"Y0000001301L","0.139285714285714-TRD",0.139285714285714,"TRD","Y0000001301L"
"Y0000001302L","0.2060522696011-FIN",0.2060522696011,"FIN","Y0000001302L"
"Y0000001304L","0.132433156067656-TOR",0.132433156067656,"TOR","Y0000001304L"
"Y0000001309L","0.2-TAX",0.2,"TAX","Y0000001309L"
"Y0000001312L","0.147880203949342-DEF",0.147880203949342,"DEF","Y0000001312L"
"Y0000001313L","1-IMM",1,"IMM","Y0000001313L"
"Y0000001315L","0.333333333333333-MMM",0.333333333333333,"MMM","Y0000001315L"
"Y0000001327L","0.617222278175043-TRA",0.617222278175043,"TRA","Y0000001327L"
"Y0000001335L","0.473116169544741-HCR",0.473116169544741,"HCR","Y0000001335L"
"Y0000001336L","0.708029197080292-MAR",0.708029197080292,"MAR","Y0000001336L"
"Y0000001338L","0.520833333333333-BUD",0.520833333333333,"BUD","Y0000001338L"
"Y0000001344L","0.597142857142857-TRD",0.597142857142857,"TRD","Y0000001344L"
"Y0000001345L","0.25-NAT",0.25,"NAT","Y0000001345L"
"Y0000001353L","0.152205667543091-TEC",0.152205667543091,"TEC","Y0000001353L"
"Y0000001354L","0.13177207820065-TEC",0.13177207820065,"TEC","Y0000001354L"
"Y0000001358L","0.262515262515263-FIN",0.262515262515263,"FIN","Y0000001358L"
"Y0000001361L","0.25-RET",0.25,"RET","Y0000001361L"
"Y0000001363L","0.426421404682274-TOB",0.426421404682274,"TOB","Y0000001363L"
"Y0000001367L","0.111216501053899-TRD",0.111216501053899,"TRD","Y0000001367L"
"Y0000001372L","0.5-HCR",0.5,"HCR","Y0000001372L"
"Y0000001375L","0.33625730994152-BUD",0.33625730994152,"BUD","Y0000001375L"
"Y0000001378L","0.0769230769230769-TRA",0.0769230769230769,"TRA","Y0000001378L"
"Y0000001387L","1-FOR",1,"FOR","Y0000001387L"
"Y0000001390L","0.53966929574276-TAX",0.53966929574276,"TAX","Y0000001390L"
"Y0000001391L","0.467849223946785-BUD",0.467849223946785,"BUD","Y0000001391L"
"Y0000001394L","0.1-WEL",0.1,"WEL","Y0000001394L"
"Y0000001398L","0.274144869215292-TAX",0.274144869215292,"TAX","Y0000001398L"
"Y0000001410L","0.661016949152542-DEF",0.661016949152542,"DEF","Y0000001410L"
"Y0000001411L","0.275390282406595-TRD",0.275390282406595,"TRD","Y0000001411L"
"Y0000001414L","0.0937268045796653-TRD",0.0937268045796653,"TRD","Y0000001414L"
"Y0000001418L","0.560931899641577-ENG",0.560931899641577,"ENG","Y0000001418L"
"Y0000001420L","0.5-TRD",0.5,"TRD","Y0000001420L"
"Y0000001422L","0.222222222222222-HCR",0.222222222222222,"HCR","Y0000001422L"
"Y0000001428L","0.24-HCR",0.24,"HCR","Y0000001428L"
"Y0000001429L","0.0256253363306848-TRU",0.0256253363306848,"TRU","Y0000001429L"
"Y0000001433L","0.505828220858896-HCR",0.505828220858896,"HCR","Y0000001433L"
"Y0000001434L","0.0833333333333333-TRF",0.0833333333333333,"TRF","Y0000001434L"
"Y0000001436L","0.333333333333333-MMM",0.333333333333333,"MMM","Y0000001436L"
"Y0000001437L","0.2-TRD",0.2,"TRD","Y0000001437L"
"Y0000001441L","0.620253164556962-FIN",0.620253164556962,"FIN","Y0000001441L"
"Y0000001447L","1-TRA",1,"TRA","Y0000001447L"
"Y0000001449L","NaN-WEL",NA,"WEL","Y0000001449L"
"Y0000001465L","0.204014598540146-TEC",0.204014598540146,"TEC","Y0000001465L"
"Y0000001470L","0.2-TRD",0.2,"TRD","Y0000001470L"
"Y0000001478L","0.25-SPO",0.25,"SPO","Y0000001478L"
"Y0000001480L","0.429718875502008-TAX",0.429718875502008,"TAX","Y0000001480L"
"Y0000001484L","1-HCR",1,"HCR","Y0000001484L"
